language,certification_level,month_number,week_start,week_end,topic_key,topic_text,lesson_id,lesson_slug,course_id,source_week_title
en,professional,10,37,40,concept and philosophy of ashtakavarga,Concept and philosophy of Ashtakavarga,,,,Ashtakavarga System
en,professional,10,37,40,bindus and their significance,Bindus and their significance,,,,Ashtakavarga System
en,professional,10,37,40,sarvashtakavarga analysis,Sarvashtakavarga analysis,,,,Ashtakavarga System
en,professional,10,37,40,bhinnashtkavarga for each planet,Bhinnashtkavarga for each planet,,,,Ashtakavarga System
en,professional,10,37,40,transit predictions using ashtakavarga,Transit predictions using Ashtakavarga,,,,Ashtakavarga System
en,professional,10,37,40,practical applications for life predictions,Practical applications for life predictions,,,,Ashtakavarga System
en,professional,10,41,44,yogini dasha for accurate timing,Yogini Dasha for accurate timing,,,,Advanced Timing Techniques
en,professional,10,41,44,narayana dasha for specific events,Narayana Dasha for specific events,,,,Advanced Timing Techniques
en,professional,10,41,44,sudasa for event prediction,Sudasa for event prediction,,,,Advanced Timing Techniques
en,professional,10,41,44,shoola dasha for health issues,Shoola Dasha for health issues,,,,Advanced Timing Techniques
en,professional,10,41,44,chara dasha jaimini advanced,Chara Dasha (Jaimini) advanced,,,,Advanced Timing Techniques
en,professional,10,41,44,synthesizing multiple timing techniques,Synthesizing multiple timing techniques,,,,Advanced Timing Techniques
en,professional,12,45,48,navamsa d9 indepth for marriage,Navamsa (D9) in-depth for marriage,,,,Marriage and Relationship Analysis
en,professional,12,45,48,7th house and its lord detailed analysis,7th house and its lord - detailed analysis,,,,Marriage and Relationship Analysis
en,professional,12,45,48,upapada lagna in marriage predictions,Upapada Lagna in marriage predictions,,,,Marriage and Relationship Analysis
en,professional,12,45,48,venus and mars roles in relationships,Venus and Mars roles in relationships,,,,Marriage and Relationship Analysis
en,professional,12,45,48,kuja dosha manglik comprehensive analysis,Kuja Dosha (Manglik) - comprehensive analysis,,,,Marriage and Relationship Analysis
en,professional,12,45,48,timing of marriage using multiple techniques,Timing of marriage using multiple techniques,,,,Marriage and Relationship Analysis
en,professional,12,49,52,traditional ashtakoota system 8 categories 36 points,"Traditional Ashtakoota system (8 categories, 36 points)",,,,Compatibility Matching (Kundali Milan)
en,professional,12,49,52,guna milan detailed explanation of each koota,Guna Milan - detailed explanation of each koota,,,,Compatibility Matching (Kundali Milan)
en,professional,12,49,52,nadi dosha and its implications,Nadi dosha and its implications,,,,Compatibility Matching (Kundali Milan)
en,professional,12,49,52,bhakoot dosha and financial compatibility,Bhakoot dosha and financial compatibility,,,,Compatibility Matching (Kundali Milan)
en,professional,12,49,52,gana matching and temperament,Gana matching and temperament,,,,Compatibility Matching (Kundali Milan)
en,professional,12,49,52,advanced compatibility beyond gunas,Advanced compatibility beyond gunas,,,,Compatibility Matching (Kundali Milan)
en,professional,12,49,52,dashas and longevity matching,Dashas and longevity matching,,,,Compatibility Matching (Kundali Milan)
en,professional,14,53,56,10th house and career analysis in depth,10th house and career analysis in depth,,,,Career and Professional Success
en,professional,14,53,56,dasamsa d10 chart mastery,Dasamsa (D10) chart mastery,,,,Career and Professional Success
